date,min,max,median,q1,q3,stdev,count
2020-06-28T00:00:00.000Z,3,6,4,4,4,0.548,1331
2020-06-29T00:00:00.000Z,0,14,0,0,3,1.785,1290
2020-06-30T00:00:00.000Z,0,7,0,0,0,0.717,1278
2020-07-01T00:00:00.000Z,0,1,0,0,0,0.101,1250
2020-07-02T00:00:00.000Z,0,19,0,0,0,1.517,1270
2020-07-03T00:00:00.000Z,0,3,0,0,0,0.492,1303
2020-07-04T00:00:00.000Z,0,4,0,0,0,0.379,871
2020-07-05T00:00:00.000Z,0,55,0,0,1,6.722,809
2020-07-06T00:00:00.000Z,0,1,0,0,0,0.175,824
2020-07-07T00:00:00.000Z,0,41,0,0,0,3.28,1251
2020-07-08T00:00:00.000Z,0,0,0,0,0,0,1279
2020-07-09T00:00:00.000Z,0,7,0,0,0,0.693,1262
2020-07-10T00:00:00.000Z,0,3,0,0,0,0.309,1302
2020-07-11T00:00:00.000Z,0,5,0,0,0,0.448,1320
2020-07-12T00:00:00.000Z,0,6,0,0,0,0.972,1320
2020-07-13T00:00:00.000Z,0,16,0,0,0,1.369,1311
2020-07-14T00:00:00.000Z,0,4,0,0,0,0.549,1304
2020-07-15T00:00:00.000Z,0,1,0,0,0,0.137,1304
2020-07-16T00:00:00.000Z,0,4,0,0,0,0.59,1299
2020-07-17T00:00:00.000Z,0,13,0,0,0,1.792,1292
2020-07-18T00:00:00.000Z,0,2,0,0,0,0.387,1296
2020-07-19T00:00:00.000Z,0,4,0,0,1,0.999,1330
2020-07-20T00:00:00.000Z,0,11,1,0,2,1.54,1301
2020-07-21T00:00:00.000Z,0,9,0,0,0,1.158,1269
2020-07-22T00:00:00.000Z,0,1,0,0,0,0.193,1244
2020-07-23T00:00:00.000Z,0,0,0,0,0,0,1264
2020-07-24T00:00:00.000Z,0,0,0,0,0,0,1274
2020-07-25T00:00:00.000Z,0,0,0,0,0,0,1145
2020-07-27T00:00:00.000Z,0,1,0,0,0,0.287,298
2020-07-28T00:00:00.000Z,0,3,0,0,1,0.792,966
2020-07-29T00:00:00.000Z,0,3,0,0,0,0.545,1155
2020-07-30T00:00:00.000Z,0,3,0,0,0,0.486,1125
2020-07-31T00:00:00.000Z,0,5,0,0,1,1.2,986
2020-08-01T00:00:00.000Z,0,8,1,0,3,1.623,1092
2020-08-02T00:00:00.000Z,0,5,1,0,1,1.056,1127
2020-08-03T00:00:00.000Z,0,2,0,0,0,0.418,1082
2020-08-04T00:00:00.000Z,0,7,0,0,0,0.924,1239
2020-08-05T00:00:00.000Z,0,5,0,0,0,0.786,1304
2020-08-06T00:00:00.000Z,0,29,0,0,0,3.623,1332
2020-08-07T00:00:00.000Z,0,18,0,0,1,2.566,1370
2020-08-08T00:00:00.000Z,0,9,0,0,1,1.25,1288
2020-08-09T00:00:00.000Z,0,89,0,0,1,4.83,1347
2020-08-10T00:00:00.000Z,0,7,0,0,0,0.732,1370
2020-08-11T00:00:00.000Z,0,2,0,0,0,0.327,1373
2020-08-12T00:00:00.000Z,0,6,0,0,0,1.041,1322
2020-08-13T00:00:00.000Z,0,25,1,0,3,2.503,1352
2020-08-14T00:00:00.000Z,0,12,3,2,4,1.897,1365
2020-08-15T00:00:00.000Z,0,15,3,3,4,1.584,1354
2020-08-16T00:00:00.000Z,0,8,3,0,4,1.946,1352
2020-08-17T00:00:00.000Z,0,8,2,0,3,1.604,1324
2020-08-18T00:00:00.000Z,0,8,2,1,4,1.684,1314
2020-08-19T00:00:00.000Z,0,5,1,0,4,1.78,1337
2020-08-20T00:00:00.000Z,0,3,0,0,0,0.478,1365
2020-08-21T00:00:00.000Z,0,9,2,1,4,1.846,1331
2020-08-22T00:00:00.000Z,0,64,0,0,2,5.342,1303
2020-08-23T00:00:00.000Z,0,16,0,0,0,1.792,1325
2020-08-24T00:00:00.000Z,0,1,0,0,0,0.062,1286
2020-08-25T00:00:00.000Z,0,2,0,0,0,0.25,1271
2020-08-26T00:00:00.000Z,0,0,0,0,0,0,1286
2020-08-27T00:00:00.000Z,0,0,0,0,0,0,1346
2020-08-28T00:00:00.000Z,0,0,0,0,0,0,1317
2020-08-29T00:00:00.000Z,0,29,0,0,0,1.867,1315
2020-08-30T00:00:00.000Z,0,30,0,0,0,2.629,1320
2020-08-31T00:00:00.000Z,0,10,0,0,0,0.933,1296
2020-09-01T00:00:00.000Z,0,29,0,0,0,2.244,1327
2020-09-02T00:00:00.000Z,0,19,0,0,1,2.003,1299
2020-09-03T00:00:00.000Z,0,11,2,1,3,1.778,1292
2020-09-04T00:00:00.000Z,0,37,0,0,0,2.497,1291
2020-09-05T00:00:00.000Z,0,13,0,0,0,1.096,1311
2020-09-06T00:00:00.000Z,0,32,0,0,0,2.576,1286
2020-09-07T00:00:00.000Z,0,5,0,0,0,0.658,1282
2020-09-08T00:00:00.000Z,0,27,0,0,0,1.868,1174
2020-09-09T00:00:00.000Z,0,7,0,0,0,1.234,1215
2020-09-10T00:00:00.000Z,0,7,0,0,0,0.895,1183
2020-09-11T00:00:00.000Z,0,4,0,0,0,0.585,1125
2020-09-12T00:00:00.000Z,0,19,0,0,1,1.484,1099
2020-09-13T00:00:00.000Z,0,13,0,0,1,1.252,1162
2020-09-14T00:00:00.000Z,0,28,0,0,0,2.138,1128
2020-09-15T00:00:00.000Z,0,4,1,0,1,0.984,1138
2020-09-16T00:00:00.000Z,0,4,0,0,3,1.657,1258
2020-09-17T00:00:00.000Z,0,5,0,0,1,0.901,940
2020-09-18T00:00:00.000Z,0,11,0,0,0,1.307,1142
2020-09-19T00:00:00.000Z,0,7,0,0,0,1.004,1231
2020-09-20T00:00:00.000Z,0,18,0,0,0,1.868,1230
2020-09-21T00:00:00.000Z,0,6,0,0,0,1.029,1213
2020-09-22T00:00:00.000Z,0,33,0,0,0,3.03,1213
2020-09-23T00:00:00.000Z,0,11,4,3,4,1.709,1242
2020-09-24T00:00:00.000Z,0,24,4,4,6,2.644,1263
2020-09-25T00:00:00.000Z,0,17,0,0,1,1.858,1280
2020-09-26T00:00:00.000Z,3,23,4,4,6,2.028,1293
2020-09-27T00:00:00.000Z,3,12,8,8,8,1.512,1284
2020-09-28T00:00:00.000Z,0,9,4,3,6,2.012,1246
2020-09-29T00:00:00.000Z,0,4,0,0,1,0.941,1260
2020-09-30T00:00:00.000Z,0,4,0,0,2,1.437,1217
2020-10-01T00:00:00.000Z,0,4,3,1,4,1.601,1095
2020-10-02T00:00:00.000Z,1,10,5,3,8,2.206,1090
2020-10-03T00:00:00.000Z,1,16,8,4,10,3.894,1084
2020-10-04T00:00:00.000Z,4,15,8,8,9,2.443,1137
